id,condition,score,sparse.decorated,category
cs9,plate_tec_other,0,sparse,other
cs10,plate_tec_other,0,sparse,other
cs11,plate_tec_other,0,sparse,other
cs12,plate_tec_other,0,sparse,other
cs13,plate_tec_other,NA,sparse,other
cs14,plate_tec_other,8.3565459610027565E-3,sparse,other
cs16,plate_tec_other,0,sparse,other
cs17,plate_tec_other,0,sparse,other
cs18,plate_tec_other,5.3475935828876811E-3,sparse,other
cs19,plate_tec_other,2.6737967914439473E-3,sparse,other
cs20,plate_tec_other,0,sparse,other
cs21,plate_tec_other,1.336898395721931E-2,sparse,other
cs22,plate_tec_other,1.0695187165775362E-2,sparse,other
cs23,plate_tec_other,0,sparse,other
cs24,plate_tec_other,2.6737967914438406E-3,sparse,other
cs1,plate_tec_total_time_off_task,0.38161559888579383,sparse,tot
cs2,plate_tec_total_time_off_task,0.28877005347593621,sparse,tot
cs3,plate_tec_total_time_off_task,NA,sparse,tot
cs4,plate_tec_total_time_off_task,0.15041782729805012,sparse,tot
cs5,plate_tec_total_time_off_task,0.18716577540106963,sparse,tot
cs6,plate_tec_total_time_off_task,2.228412256267407E-2,sparse,tot
cs7,plate_tec_total_time_off_task,6.9637883008356299E-2,sparse,tot
cs8,plate_tec_total_time_off_task,0.15775401069518702,sparse,tot
cs9,plate_tec_total_time_off_task,0.18662952646239556,sparse,tot
cs10,plate_tec_total_time_off_task,0.11977715877437339,sparse,tot
cs11,plate_tec_total_time_off_task,0.12813370473537591,sparse,tot
cs12,plate_tec_total_time_off_task,0.43850267379679059,sparse,tot
cs13,plate_tec_total_time_off_task,NA,sparse,tot
cs14,plate_tec_total_time_off_task,0.12813370473537597,sparse,tot
cs16,plate_tec_total_time_off_task,0.13636363636363624,sparse,tot
cs17,plate_tec_total_time_off_task,0.13370473537604444,sparse,tot
cs18,plate_tec_total_time_off_task,0.16577540106951913,sparse,tot
cs19,plate_tec_total_time_off_task,0.14171122994652408,sparse,tot
cs20,plate_tec_total_time_off_task,0.66844919786096213,sparse,tot
cs21,plate_tec_total_time_off_task,0.52406417112299497,sparse,tot
cs22,plate_tec_total_time_off_task,0.39839572192513395,sparse,tot
cs23,plate_tec_total_time_off_task,0.21122994652406446,sparse,tot
cs24,plate_tec_total_time_off_task,0.23529411764705899,sparse,tot
cs1,volcanoes_self,8.4710743801653013E-2,sparse,self
cs2,volcanoes_self,4.0160642570280982E-3,sparse,self
cs3,volcanoes_self,2.0661157024793315E-3,sparse,self
cs4,volcanoes_self,8.2644628099173261E-3,sparse,self
cs5,volcanoes_self,7.4297188755020296E-2,sparse,self
cs6,volcanoes_self,1.6528925619834819E-2,sparse,self
cs7,volcanoes_self,4.1322314049588287E-3,sparse,self
cs8,volcanoes_self,1.8072289156626602E-2,sparse,self
cs9,volcanoes_self,2.0661157024793315E-3,sparse,self
cs10,volcanoes_self,1.4462809917355487E-2,sparse,self
cs11,volcanoes_self,1.0330578512396989E-2,sparse,self
cs12,volcanoes_self,NA,sparse,self
cs13,volcanoes_self,NA,sparse,self
cs14,volcanoes_self,2.0661157024794968E-3,sparse,self
cs16,volcanoes_self,2.2088353413654782E-2,sparse,self
cs17,volcanoes_self,0,sparse,self
cs18,volcanoes_self,2.0080321285142096E-3,sparse,self
cs19,volcanoes_self,7.028112449799212E-2,sparse,self
cs20,volcanoes_self,0.33132530120481923,sparse,self
cs21,volcanoes_self,0.1144578313253012,sparse,self
cs22,volcanoes_self,0.17469879518072337,sparse,self
cs23,volcanoes_self,3.8152610441767293E-2,sparse,self
cs24,volcanoes_self,4.4176706827309321E-2,sparse,self
cs1,volcanoes_peer,0.23760330578512434,sparse,peer
cs2,volcanoes_peer,0.26907630522088344,sparse,peer
cs3,volcanoes_peer,9.2975206611570299E-2,sparse,peer
cs4,volcanoes_peer,0.20041322314049553,sparse,peer
cs5,volcanoes_peer,0.24297188755020124,sparse,peer
cs6,volcanoes_peer,6.6115702479339108E-2,sparse,peer
cs7,volcanoes_peer,0.26033057851239721,sparse,peer
cs8,volcanoes_peer,0.18875502008032166,sparse,peer
cs9,volcanoes_peer,0.39462809917355318,sparse,peer
cs10,volcanoes_peer,0.10123966942148759,sparse,peer
cs11,volcanoes_peer,0.19214876033057818,sparse,peer
cs12,volcanoes_peer,NA,sparse,peer
cs13,volcanoes_peer,NA,sparse,peer
cs14,volcanoes_peer,0.15082644628099195,sparse,peer
cs16,volcanoes_peer,0.10441767068273075,sparse,peer
cs17,volcanoes_peer,0.12809917355371869,sparse,peer
cs18,volcanoes_peer,0.40361445783132499,sparse,peer
cs19,volcanoes_peer,0.1746987951807224,sparse,peer
cs20,volcanoes_peer,0.31124497991967814,sparse,peer
cs21,volcanoes_peer,0.3333333333333337,sparse,peer
cs22,volcanoes_peer,0.31927710843373441,sparse,peer
cs23,volcanoes_peer,0.261044176706828,sparse,peer
cs24,volcanoes_peer,0.29317269076305236,sparse,peer
cs1,volcanoes_environment,1.6528925619835065E-2,sparse,envr
cs2,volcanoes_environment,1.8072289156626443E-2,sparse,envr
cs3,volcanoes_environment,1.0330578512396658E-2,sparse,envr
cs4,volcanoes_environment,1.6528925619834902E-2,sparse,envr
cs5,volcanoes_environment,1.0040160642570246E-2,sparse,envr
cs6,volcanoes_environment,8.2644628099174926E-3,sparse,envr
cs7,volcanoes_environment,6.1983471074379952E-2,sparse,envr
cs8,volcanoes_environment,3.8152610441766932E-2,sparse,envr
cs9,volcanoes_environment,4.3388429752066499E-2,sparse,envr
cs10,volcanoes_environment,1.6528925619834652E-2,sparse,envr
cs11,volcanoes_environment,1.03305785123967E-2,sparse,envr
cs12,volcanoes_environment,NA,sparse,envr
cs13,volcanoes_environment,NA,sparse,envr
cs14,volcanoes_environment,3.9256198347107342E-2,sparse,envr
cs16,volcanoes_environment,7.2289156626506174E-2,sparse,envr
cs17,volcanoes_environment,1.6528925619834489E-2,sparse,envr
cs18,volcanoes_environment,3.2128514056224626E-2,sparse,envr
cs19,volcanoes_environment,5.4216867469879845E-2,sparse,envr
cs20,volcanoes_environment,5.6224899598393656E-2,sparse,envr
cs21,volcanoes_environment,3.4136546184738832E-2,sparse,envr
cs22,volcanoes_environment,5.6224899598393739E-2,sparse,envr
cs23,volcanoes_environment,4.0160642570280982E-3,sparse,envr
cs24,volcanoes_environment,1.4056224899598345E-2,sparse,envr
cs1,volcanoes_other,0,sparse,other
cs2,volcanoes_other,0,sparse,other
cs3,volcanoes_other,2.0661157024793315E-3,sparse,other
cs4,volcanoes_other,8.2644628099173261E-3,sparse,other
cs5,volcanoes_other,0,sparse,other
cs6,volcanoes_other,2.0661157024793315E-3,sparse,other
cs7,volcanoes_other,0,sparse,other
cs8,volcanoes_other,0,sparse,other
cs9,volcanoes_other,0,sparse,other
cs10,volcanoes_other,0,sparse,other
cs11,volcanoes_other,0,sparse,other
cs12,volcanoes_other,NA,sparse,other
cs13,volcanoes_other,NA,sparse,other
cs14,volcanoes_other,2.0661157024793315E-3,sparse,other
cs16,volcanoes_other,2.0080321285140491E-3,sparse,other
cs17,volcanoes_other,0,sparse,other
cs18,volcanoes_other,0,sparse,other
cs19,volcanoes_other,0,sparse,other
cs20,volcanoes_other,0,sparse,other
cs21,volcanoes_other,0,sparse,other
cs22,volcanoes_other,4.0160642570280982E-3,sparse,other
cs23,volcanoes_other,0,sparse,other
cs24,volcanoes_other,0,sparse,other
cs1,volcanoes_total_time_off_task,0.33884297520661244,sparse,tot
cs2,volcanoes_total_time_off_task,0.29116465863453794,sparse,tot
cs3,volcanoes_total_time_off_task,0.10743801652892562,sparse,tot
cs4,volcanoes_total_time_off_task,0.23347107438016509,sparse,tot
cs5,volcanoes_total_time_off_task,0.32730923694779179,sparse,tot
cs6,volcanoes_total_time_off_task,9.2975206611570757E-2,sparse,tot
cs7,volcanoes_total_time_off_task,0.32644628099173595,sparse,tot
cs8,volcanoes_total_time_off_task,0.24497991967871519,sparse,tot
cs9,volcanoes_total_time_off_task,0.44008264462809898,sparse,tot
cs10,volcanoes_total_time_off_task,0.13223140495867772,sparse,tot
cs11,volcanoes_total_time_off_task,0.21280991735537186,sparse,tot
cs12,volcanoes_total_time_off_task,NA,sparse,tot
cs13,volcanoes_total_time_off_task,NA,sparse,tot
cs14,volcanoes_total_time_off_task,0.19421487603305812,sparse,tot
cs16,volcanoes_total_time_off_task,0.20080321285140576,sparse,tot
cs17,volcanoes_total_time_off_task,0.14462809917355318,sparse,tot
cs18,volcanoes_total_time_off_task,0.43775100401606382,sparse,tot
cs19,volcanoes_total_time_off_task,0.29919678714859438,sparse,tot
cs20,volcanoes_total_time_off_task,0.69879518072289104,sparse,tot
cs21,volcanoes_total_time_off_task,0.48192771084337371,sparse,tot
cs22,volcanoes_total_time_off_task,0.55421686746987964,sparse,tot
cs23,volcanoes_total_time_off_task,0.30321285140562337,sparse,tot
cs24,volcanoes_total_time_off_task,0.35140562248995999,sparse,tot
cs1,bugs_self,6.8783068783068793E-2,sparse,self
cs2,bugs_self,2.3715415019762445E-2,sparse,self
cs3,bugs_self,6.3492063492063974E-2,sparse,self
cs4,bugs_self,1.7636684303349499E-3,sparse,self
cs5,bugs_self,2.7667984189723535E-2,sparse,self
cs6,bugs_self,1.7636684303351191E-2,sparse,self
cs7,bugs_self,1.4109347442680621E-2,sparse,self
cs8,bugs_self,0,sparse,self
cs9,bugs_self,3.5273368606701817E-3,sparse,self
cs10,bugs_self,5.2910052910053199E-2,sparse,self
cs11,bugs_self,3.7037037037037188E-2,sparse,self
cs12,bugs_self,0.11264822134387201,sparse,self
cs13,bugs_self,2.6455026455026398E-2,sparse,self
cs14,bugs_self,NA,sparse,self
cs16,bugs_self,NA,sparse,self
cs17,bugs_self,7.0546737213401517E-3,sparse,self
cs18,bugs_self,3.9525691699604602E-3,sparse,self
cs19,bugs_self,NA,sparse,self
cs20,bugs_self,0.34387351778656178,sparse,self
cs21,bugs_self,6.5217391304347672E-2,sparse,self
cs22,bugs_self,0.15415019762845794,sparse,self
cs23,bugs_self,9.8814229249011495E-3,sparse,self
cs24,bugs_self,3.3596837944664226E-2,sparse,self
cs1,bugs_peer,0.2733686067019403,sparse,peer
cs2,bugs_peer,0.24703557312253049,sparse,peer
cs3,bugs_peer,0.12345679012345709,sparse,peer
cs4,bugs_peer,0.34215167548500902,sparse,peer
cs5,bugs_peer,0.18379446640316108,sparse,peer
cs6,bugs_peer,6.8783068783068863E-2,sparse,peer
cs7,bugs_peer,0.17813051146384482,sparse,peer
cs8,bugs_peer,0.14822134387351685,sparse,peer
cs9,bugs_peer,0.34391534391534367,sparse,peer
cs10,bugs_peer,0.18342151675484947,sparse,peer
cs11,bugs_peer,0.1975308641975303,sparse,peer
cs12,bugs_peer,0.22924901185770905,sparse,peer
cs13,bugs_peer,0.23809523809523889,sparse,peer
cs14,bugs_peer,NA,sparse,peer
cs16,bugs_peer,NA,sparse,peer
cs17,bugs_peer,0.25925925925925952,sparse,peer
cs18,bugs_peer,0.2272727272727274,sparse,peer
cs19,bugs_peer,NA,sparse,peer
cs20,bugs_peer,0.13636363636363691,sparse,peer
cs21,bugs_peer,0.30237154150197709,sparse,peer
cs22,bugs_peer,0.29841897233201614,sparse,peer
cs23,bugs_peer,0.31225296442687728,sparse,peer
cs24,bugs_peer,0.14031620553359672,sparse,peer
cs1,bugs_environment,1.5873015873015886E-2,sparse,envr
cs2,bugs_environment,1.9762845849802301E-3,sparse,envr
cs3,bugs_environment,5.2910052910053185E-2,sparse,envr
cs4,bugs_environment,8.2892416225749624E-2,sparse,envr
cs5,bugs_environment,2.3715415019762601E-2,sparse,envr
cs6,bugs_environment,2.1164021164021229E-2,sparse,envr
cs7,bugs_environment,3.703703703703768E-2,sparse,envr
cs8,bugs_environment,6.9169960474308054E-2,sparse,envr
cs9,bugs_environment,9.7001763668430455E-2,sparse,envr
cs10,bugs_environment,9.7001763668430385E-2,sparse,envr
cs11,bugs_environment,7.0546737213402219E-3,sparse,envr
cs12,bugs_environment,0.21343873517786563,sparse,envr
cs13,bugs_environment,4.5855379188712429E-2,sparse,envr
cs14,bugs_environment,NA,sparse,envr
cs16,bugs_environment,NA,sparse,envr
cs17,bugs_environment,2.6455026455026502E-2,sparse,envr
